short_name,long_name,overall,age,dob,height_cm,weight_kg,club_position,Position,club_name,league_name,nationality_name,club_jersey_number,preferred_foot
D. Kamada,鎌田 大地,79,24,1996-08-05,184,76,CAM,Midfield,Eintracht Frankfurt,German 1. Bundesliga,Japan,15,Right
P. Schick,Patrik Schick,79,25,1996-01-24,191,85,ST,Forward,Bayer 04 Leverkusen,German 1. Bundesliga,Czech Republic,14,Left
J. Ikoné,Nanitamo Jonathan Ikoné,79,23,1998-05-02,175,73,RM,Midfield,LOSC Lille,French Ligue 1,France,10,Left
G. Kobel,Gregor Kobel,79,23,1997-12-06,195,88,GK,GK,Borussia Dortmund,German 1. Bundesliga,Switzerland,1,Right
Lucas Veríssimo,Lucas Veríssimo da Silva,79,25,1995-07-02,188,77,RCB,Defender,SL Benfica,Portuguese Liga ZON SAGRES,Brazil,4,Right
K. Demirbay,Kerem Demirbay,79,27,1993-07-03,183,73,LDM,Midfield,Bayer 04 Leverkusen,German 1. Bundesliga,Germany,10,Left
L. Martínez,Lisandro Martínez,79,23,1998-01-18,178,77,LCB,Defender,Ajax,Holland Eredivisie,Argentina,21,Left
Rubén García,Rubén García Santos,79,27,1993-07-14,171,71,LM,Midfield,CA Osasuna,Spain Primera Division,Spain,14,Left
Gao Late,高拉特,79,30,1991-06-05,185,78,CAM,Midfield,Guangzhou FC,Chinese Super League,China PR,11,Right
M. Antonio,Michail Antonio,79,31,1990-03-28,178,82,ST,Forward,West Ham United,English Premier League,Jamaica,9,Right
M. Silvestri,Marco Silvestri,79,30,1991-03-02,191,80,GK,GK,Udinese Calcio,Italian Serie A,Italy,1,Right
C. Wood,Christopher Grant Wood,79,29,1991-12-07,191,92,RS,Forward,Burnley,English Premier League,New Zealand,9,Right
A. Cresswell,Aaron Cresswell,79,31,1989-12-15,175,66,LB,Defender,West Ham United,English Premier League,England,3,Left
Ai Kesen,艾克森,79,31,1989-07-13,180,77,RS,Forward,Guangzhou FC,Chinese Super League,China PR,9,Right
Marcos Alonso,Marcos Alonso Mendoza,79,30,1990-12-28,188,85,LWB,Defender,Chelsea,English Premier League,Spain,3,Left
Mario Gaspar,Mario Gaspar Pérez Martínez,79,30,1990-11-24,180,77,RB,Defender,Villarreal CF,Spain Primera Division,Spain,2,Right
L. Rodríguez,Luis Miguel Rodríguez,79,36,1985-01-01,168,71,CF,Forward,Gimnasia y Esgrima La Plata,Argentina Primera División,Argentina,8,Right
X. Shaqiri,Xherdan Shaqiri,79,29,1991-10-10,169,72,RM,Midfield,Olympique Lyonnais,French Ligue 1,Switzerland,29,Left
Y. El Arabi,Youssef El Arabi,79,34,1987-02-03,182,84,ST,Forward,Olympiacos CFP,Greek Super League,Morocco,11,Right
B. Mee,Ben Mee,79,31,1989-09-21,180,82,LCB,Defender,Burnley,English Premier League,England,6,Left
C. Wilson,Callum Wilson,79,29,1992-02-27,180,66,RS,Forward,Newcastle United,English Premier League,England,9,Right
A. Candreva,Antonio Candreva,79,34,1987-02-28,180,70,RM,Midfield,U.C. Sampdoria,Italian Serie A,Italy,87,Right
C. Mbemba,Chancel Mbemba Mangulu,79,26,1994-08-08,182,82,RCB,Defender,FC Porto,Portuguese Liga ZON SAGRES,Congo DR,19,Right
F. Ribéry,Franck Bilal Ribéry,79,38,1983-04-07,170,72,RS,Forward,US Salernitana 1919,Italian Serie A,France,7,Right
B. Costil,Benoît Costil,79,33,1987-07-03,187,82,GK,GK,FC Girondins de Bordeaux,French Ligue 1,France,1,Right
B. Gomis,Bafétimbi Fredius Gomis,79,35,1985-08-06,186,86,LS,Forward,Al Hilal,Saudi Abdul L. Jameel League,France,18,Right
M. Dembélé,Mousa Sidi Yaya Dembélé,79,33,1987-07-16,185,85,LCM,Midfield,Guangzhou City,Chinese Super League,Belgium,8,Left
B. Matuidi,Blaise Matuidi,79,34,1987-04-09,180,75,LDM,Midfield,Inter Miami CF,USA Major League Soccer,France,8,Left
D. Ospina,David Ospina Ramírez,79,32,1988-08-31,183,80,GK,GK,Napoli,Italian Serie A,Colombia,25,Right
M. Suárez,Matías Ezequiel Suárez,79,33,1988-05-09,183,75,LS,Forward,River Plate,Argentina Primera División,Argentina,7,Right
M. Özil,Mesut Özil,79,32,1988-10-15,180,71,RF,Forward,Fenerbahçe SK,Turkish Süper Lig,Germany,10,Left
N. Guzmán,Nahuel Ignacio Guzmán,79,35,1986-02-10,193,94,GK,GK,Tigres U.A.N.L.,Mexican Liga MX,Argentina,1,Right
O. Giroud,Olivier Giroud,79,34,1986-09-30,193,91,ST,Forward,AC Milan,Italian Serie A,France,9,Left
Y. M'Vila,Yann Gérard M'Vila,79,31,1990-06-29,182,80,CM,Midfield,Olympiacos CFP,Greek Super League,France,6,Right
Rafael Carioca,Rafael de Souza Pereira,79,32,1989-06-18,181,78,RDM,Midfield,Tigres U.A.N.L.,Mexican Liga MX,Brazil,5,Right
Iniesta,Andrés Iniesta Luján,79,37,1984-05-11,171,68,CAM,Midfield,Vissel Kobe,Japanese J. League Division 1,Spain,8,Right
Germán,Germán Sánchez Barahona,79,34,1986-10-31,187,82,LCB,Defender,Granada CF,Spain Primera Division,Spain,6,Right
R. Ruidíaz,Raúl Mario Ruidíaz Misitich,79,30,1990-07-25,169,66,ST,Forward,Seattle Sounders FC,USA Major League Soccer,Peru,9,Right
T. Stepanenko,Taras Stepanenko,79,31,1989-08-08,181,80,RDM,Midfield,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,6,Left
A. Plea,Alassane Alexandre Pléa,79,28,1993-03-10,181,79,ST,Forward,Borussia Mönchengladbach,German 1. Bundesliga,France,14,Right
Manu Trigueros,Manuel Trigueros Muñoz,79,29,1991-10-17,178,75,RCM,Midfield,Villarreal CF,Spain Primera Division,Spain,14,Right
C. Günter,Christian Günter,79,28,1993-02-28,184,83,LB,Defender,Sport-Club Freiburg,German 1. Bundesliga,Germany,30,Left
De Tomás,Raúl De Tomás Gómez,79,26,1994-10-17,180,79,LS,Forward,RCD Espanyol de Barcelona,Spain Primera Division,Spain,11,Right
J. Hofmann,Jonas Hofmann,79,28,1992-07-14,176,73,RM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,23,Right
J. Quintero,Juan Fernando Quintero Paniagua,79,28,1993-01-18,169,65,RM,Midfield,Shenzhen FC,Chinese Super League,Colombia,10,Left
K. Mbabu,Melingo Kevin Mbabu,79,26,1995-04-19,184,83,RB,Defender,VfL Wolfsburg,German 1. Bundesliga,Switzerland,19,Right
Matheus,Matheus Lima Magalhães,79,28,1992-07-19,190,84,GK,GK,SC Braga,Portuguese Liga ZON SAGRES,Brazil,1,Right
C. Kramer,Christoph Kramer,79,30,1991-02-19,191,76,RDM,Midfield,Borussia Mönchengladbach,German 1. Bundesliga,Germany,6,Right
C. Coady,Conor Coady,79,28,1993-02-25,186,80,CB,Defender,Wolverhampton Wanderers,English Premier League,England,16,Right
D. Klaassen,Davy Klaassen,79,28,1993-02-21,179,70,CAM,Midfield,Ajax,Holland Eredivisie,Netherlands,6,Right
G. Xhaka,Granit Xhaka,79,28,1992-09-27,185,82,LDM,Midfield,Arsenal,English Premier League,Switzerland,34,Left
Deulofeu,Gerard Deulofeu Lázaro,79,27,1994-03-13,177,73,CF,Forward,Udinese Calcio,Italian Serie A,Spain,10,Right
E. Dier,Eric Dier,79,27,1994-01-15,190,90,LCB,Defender,Tottenham Hotspur,English Premier League,England,15,Right
A. Carrillo,André Martín Carrillo Díaz,79,30,1991-06-14,182,78,RM,Midfield,Al Hilal,Saudi Abdul L. Jameel League,Peru,19,Right
M. Cash,Matty Cash,78,23,1997-08-07,179,74,RB,Defender,Aston Villa,English Premier League,England,2,Right
Gelson Martins,Gelson Dany Batalha Martins,78,26,1995-05-11,173,74,RM,Midfield,AS Monaco,French Ligue 1,Portugal,7,Right
A. Fulgini,Angelo Fulgini,78,24,1996-08-20,183,71,CAM,Midfield,Angers SCO,French Ligue 1,France,10,Right
G. Rodríguez,Guido Rodríguez,78,26,1995-04-11,185,80,RDM,Midfield,Real Betis Balompié,Spain Primera Division,Argentina,21,Right
E. Konsa,Ezri Konsa Ngoyo,78,23,1997-10-23,183,77,RCB,Defender,Aston Villa,English Premier League,England,4,Right
Antônio Chiamuloira,A. Benjamin Chiamuloira Paes,78,21,2000-02-29,182,79,LCB,Defender,Internacional,Campeonato Brasileiro Série A,Brazil,5,Left
F. Grillitsch,Florian Grillitsch,78,25,1995-08-07,187,77,RDM,Midfield,TSG Hoffenheim,German 1. Bundesliga,Austria,11,Right
E. Audero,Emil Audero Mulyadi,78,24,1997-01-18,192,83,GK,GK,U.C. Sampdoria,Italian Serie A,Italy,1,Right
Gerson Armão,Gérson Adriano Gutierres Serra,78,21,2000-02-29,186,73,RM,Midfield,Internacional,Campeonato Brasileiro Série A,Brazil,15,Left
Wellington Sabrão,Wellingt. Edson Sabrão Rolim,78,33,1988-02-29,169,66,RB,Defender,Flamengo,Campeonato Brasileiro Série A,Brazil,4,Right
Vincente Dourado,Vincente Filho Dourado Hermes,78,25,1996-02-29,190,88,RCB,Defender,Flamengo,Campeonato Brasileiro Série A,Brazil,6,Right
Everticinho,Everton Jorge Simão Resende,78,21,2000-02-29,176,75,RB,Defender,RB Bragantino,Campeonato Brasileiro Série A,Brazil,21,Right
Dani García,Daniel García Carrillo,78,31,1990-05-24,180,81,LCM,Midfield,Athletic Club de Bilbao,Spain Primera Division,Spain,14,Right
Sergio Herrera,Sergio Herrera Pirón,78,28,1993-06-06,192,82,GK,GK,CA Osasuna,Spain Primera Division,Spain,1,Right
Arturo Inálcio,Arturo Adolfo Inálcio Dutra,78,21,2000-02-29,170,60,CAM,Midfield,Flamengo,Campeonato Brasileiro Série A,Brazil,21,Right
B. Bourigeaud,Benjamin Bourigeaud,78,27,1994-01-14,178,68,RCM,Midfield,Stade Rennais FC,French Ligue 1,France,14,Right
C. Izquierdoz,Carlos Roberto Izquierdoz,78,32,1988-11-03,185,88,RCB,Defender,Boca Juniors,Argentina Primera División,Argentina,24,Right
Ayoze Pérez,Ayoze Pérez Gutiérrez,78,27,1993-07-29,178,72,RM,Midfield,Leicester City,English Premier League,Spain,17,Right
S. Fofana,Seko Fofana,78,26,1995-05-07,185,74,LCM,Midfield,Racing Club de Lens,French Ligue 1,Côte d'Ivoire,8,Right
Álex Moreno,Alexandre Moreno Lopera,78,28,1993-06-08,179,68,LB,Defender,Real Betis Balompié,Spain Primera Division,Spain,15,Left
S. Gigot,Samuel Gigot,78,27,1993-10-12,187,83,RCB,Defender,Spartak Moskva,Russian Premier League,France,2,Right
L. Ajorque,Ludovic Ajorque,78,27,1994-02-25,197,92,LS,Forward,RC Strasbourg Alsace,French Ligue 1,France,25,Left
B. Santamaria,Baptiste Santamaría,78,26,1995-03-09,183,73,LCM,Midfield,Stade Rennais FC,French Ligue 1,France,8,Right
R. Borré,Rafael Santos Borré Maury,78,25,1995-09-15,174,70,ST,Forward,Eintracht Frankfurt,German 1. Bundesliga,Colombia,19,Right
L. Olaza,Lucas René Olaza Catrofe,78,26,1994-07-21,175,70,LWB,Defender,Real Valladolid CF,Spanish Segunda División,Uruguay,21,Left
M. Friedrich,Marvin Friedrich,78,25,1995-12-13,192,81,RCB,Defender,1. FC Union Berlin,German 1. Bundesliga,Germany,5,Right
R. Karsdorp,Rick Karsdorp,78,26,1995-02-11,184,80,RB,Defender,Roma,Italian Serie A,Netherlands,2,Right
Á. Mena,Ángel Israel Mena Delgado,78,33,1988-01-21,168,71,RM,Midfield,Club León,Mexican Liga MX,Ecuador,13,Left
Puado,Javier Puado Díaz,78,23,1998-05-25,177,69,LM,Midfield,RCD Espanyol de Barcelona,Spain Primera Division,Spain,9,Right
Fredditinho,Fred Claudinei Tófoli Vilela,78,33,1988-02-29,188,87,ST,Forward,Palmeiras,Campeonato Brasileiro Série A,Brazil,10,Right
N. De la Cruz,Diego Nicolás De La Cruz Arcosa,78,24,1997-06-01,167,65,RAM,Midfield,River Plate,Argentina Primera División,Uruguay,11,Right
Junior Firpo,Héctor Junior Firpo Adamés,78,24,1996-08-22,184,78,LB,Defender,Leeds United,English Premier League,Spain,3,Left
P. Rajković,Predrag Rajković,78,25,1995-10-31,191,85,GK,GK,Stade de Reims,French Ligue 1,Serbia,1,Right
C. Baumgartner,Christoph Baumgartner,78,21,1999-08-01,180,73,RM,Midfield,TSG Hoffenheim,German 1. Bundesliga,Austria,14,Right
Luis Milla,Luis Milla Manzanares,78,26,1994-10-07,175,67,LCM,Midfield,Granada CF,Spain Primera Division,Spain,5,Right
De Frutos,Jorge de Frutos Sebastián,78,24,1997-02-20,176,71,RM,Midfield,Levante Unión Deportiva,Spain Primera Division,Spain,18,Right
J. David,Jonathan Christian David,78,21,2000-01-14,177,77,RS,Forward,LOSC Lille,French Ligue 1,Canada,9,Right
Jovane Cabral,Jovane Eduardo Borges Cabral,78,23,1998-06-14,176,72,LW,Forward,Sporting CP,Portuguese Liga ZON SAGRES,Cape Verde Islands,10,Right
O. Kolář,Ondřej Kolář,78,26,1994-10-17,193,81,GK,GK,SK Slavia Praha,Czech Republic Gambrinus Liga,Czech Republic,1,Right
Adama Traoré,Adama Traoré Diarra,78,25,1996-01-25,178,72,LW,Forward,Wolverhampton Wanderers,English Premier League,Spain,37,Right
Y. Fofana,Youssouf Fofana,78,22,1999-01-10,176,69,RCM,Midfield,AS Monaco,French Ligue 1,France,22,Right
R. Gravenberch,Ryan Jiro Gravenberch,78,19,2002-05-16,190,79,LCM,Midfield,Ajax,Holland Eredivisie,Netherlands,8,Right
M. Greenwood,Mason Greenwood,78,19,2001-10-01,181,70,RM,Midfield,Manchester United,English Premier League,England,11,Left
M. Caqueret,Maxence Caqueret,78,21,2000-02-15,174,63,LDM,Midfield,Olympique Lyonnais,French Ligue 1,France,25,Right
F. Wirtz,Florian Richard Wirtz,78,18,2003-05-03,176,70,CAM,Midfield,Bayer 04 Leverkusen,German 1. Bundesliga,Germany,27,Right
A. Gouiri,Amine Gouiri,78,21,2000-02-16,180,72,LS,Forward,OGC Nice,French Ligue 1,France,11,Right
Brahim,Brahim Abdelkader Díaz,78,21,1999-08-03,171,59,CAM,Midfield,AC Milan,Italian Serie A,Spain,10,Right
A. Lafont,Alban Lafont,78,22,1999-01-23,196,90,GK,GK,FC Nantes,French Ligue 1,France,1,Right
J. Harrison,Jack Harrison,78,24,1996-11-20,175,70,LM,Midfield,Leeds United,English Premier League,England,22,Left
W. Endo,遠藤 航,78,28,1993-02-09,178,76,LCM,Midfield,VfB Stuttgart,German 1. Bundesliga,Japan,3,Right
R. Le Normand,Robin Le Normand,78,24,1996-11-11,187,81,LCB,Defender,Real Sociedad,Spain Primera Division,France,24,Right
Y. Herrera,Yangel Clemente Herrera Ravelo,78,23,1998-01-07,184,77,LDM,Midfield,RCD Espanyol de Barcelona,Spain Primera Division,Venezuela,25,Right
Domingos Duarte,Domingos Sousa Coutinho Meneses Duarte,78,26,1995-03-03,190,78,RCB,Defender,Granada CF,Spain Primera Division,Portugal,22,Right
I. Sarr,Ismaïla Sarr,78,23,1998-02-25,185,76,RM,Midfield,Watford,English Premier League,Senegal,23,Right
Luiz Felipe,Luiz Felipe Ramos Marchi,78,24,1997-03-22,187,80,RCB,Defender,Lazio,Italian Serie A,Brazil,3,Right
A. Barák,Antonín Barák,78,26,1994-12-03,190,86,RF,Forward,Hellas Verona,Italian Serie A,Czech Republic,7,Left
N. Zaniolo,Nicolò Zaniolo,78,21,1999-07-02,190,79,RM,Midfield,Roma,Italian Serie A,Italy,22,Left
N. Lang,Noa Noëll Lang,78,22,1999-06-17,179,69,RW,Forward,Club Brugge KV,Belgian Jupiler Pro League,Netherlands,10,Right
F. Fabra,Frank Yusty Fabra Palacios,78,30,1991-02-22,174,86,LB,Defender,Boca Juniors,Argentina Primera División,Colombia,18,Left
A. Westwood,Ashley Westwood,78,31,1990-04-01,175,73,RCM,Midfield,Burnley,English Premier League,England,18,Right
M. Sissoko,Moussa Sissoko,78,31,1989-08-16,187,91,RCM,Midfield,Watford,English Premier League,France,19,Right
G. Kakuta,Gaël Kakuta,78,30,1991-06-21,173,72,CAM,Midfield,Racing Club de Lens,French Ligue 1,Congo DR,10,Left
C. Kouyaté,Cheikhou Kouyaté,78,31,1989-12-21,189,83,CDM,Midfield,Crystal Palace,English Premier League,Senegal,8,Right
F. Caputo,Francesco Caputo,78,33,1987-08-06,181,74,LS,Forward,U.C. Sampdoria,Italian Serie A,Italy,10,Right
G. Bonaventura,Giacomo Bonaventura,78,31,1989-08-22,181,75,RCM,Midfield,Fiorentina,Italian Serie A,Italy,5,Right
Pedro,Pedro Eliezer Rodríguez Ledesma,78,33,1987-07-28,169,65,RW,Forward,Lazio,Italian Serie A,Spain,9,Right
S. Coleman,Séamus Coleman,78,32,1988-10-11,177,77,RB,Defender,Everton,English Premier League,Republic of Ireland,23,Right
L. Rodríguez,Luis Alfonso Rodríguez Alanís,78,30,1991-01-21,177,76,RB,Defender,Tigres U.A.N.L.,Mexican Liga MX,Mexico,28,Right
Escudero,Sergio Escudero Palomo,78,31,1989-09-02,176,72,LB,Defender,Granada CF,Spain Primera Division,Spain,3,Left
R. Soriano,Roberto Soriano,78,30,1991-02-08,182,76,CM,Midfield,Bologna,Italian Serie A,Italy,21,Right
H. Seferović,Haris Seferović,78,29,1992-02-22,189,85,ST,Forward,SL Benfica,Portuguese Liga ZON SAGRES,Switzerland,14,Left
R. Vormer,Ruud Willem Vormer,78,33,1988-05-11,178,79,RCM,Midfield,Club Brugge KV,Belgian Jupiler Pro League,Netherlands,25,Right
A. Guardado,José Andrés Guardado Hernández,78,34,1986-09-28,169,67,LDM,Midfield,Real Betis Balompié,Spain Primera Division,Mexico,18,Left
Pepe Reina,José Manuel Reina Páez,78,38,1982-08-31,188,92,GK,GK,Lazio,Italian Serie A,Spain,25,Right
Negredo,Álvaro Negredo Sánchez,78,35,1985-08-20,186,86,ST,Forward,Cádiz CF,Spain Primera Division,Spain,18,Left
A. Talavera,Alfredo Talavera Díaz,78,38,1982-09-18,186,85,GK,GK,Club Universidad Nacional,Mexican Liga MX,Mexico,1,Right
F. Quagliarella,Fabio Quagliarella,78,38,1983-01-31,180,79,RS,Forward,U.C. Sampdoria,Italian Serie A,Italy,27,Right
L. Koscielny,Laurent Koscielny,78,35,1985-09-10,186,80,CB,Defender,FC Girondins de Bordeaux,French Ligue 1,France,6,Right
Falcao,Radamel Falcao García Zárate,78,35,1986-02-10,177,72,ST,Forward,Rayo Vallecano,Spain Primera Division,Colombia,16,Right
V. Moses,Victor Moses,78,30,1990-12-12,177,79,RM,Midfield,Spartak Moskva,Russian Premier League,Nigeria,8,Right
C. Ansaldi,Cristian Daniel Ansaldi,78,34,1986-09-20,181,76,LM,Midfield,Torino F.C.,Italian Serie A,Argentina,15,Right
K. Boateng,Kevin-Prince Boateng,78,34,1987-03-06,185,86,CDM,Midfield,Hertha BSC,German 1. Bundesliga,Ghana,27,Right
Pedro León,Pedro León Sánchez Gil,78,34,1986-11-24,183,73,RM,Midfield,CF Fuenlabrada,Spanish Segunda División,Spain,14,Right
A. Oukidja,Alexandre Oukidja,78,32,1988-07-19,184,80,GK,GK,FC Metz,French Ligue 1,Algeria,16,Right
Miguel Veloso,Miguel Luís Pinto Veloso,78,35,1986-05-11,180,79,LCM,Midfield,Hellas Verona,Italian Serie A,Portugal,4,Left
J. Hernández,Javier Hernández Balcázar,78,33,1988-06-01,175,73,ST,Forward,LA Galaxy,USA Major League Soccer,Mexico,14,Right
Víctor Ruiz,Víctor Ruíz Torre,78,32,1989-01-25,185,78,LCB,Defender,Real Betis Balompié,Spain Primera Division,Spain,6,Left
Ángel,Ángel Luís Rodríguez Díaz,78,34,1987-04-26,172,68,ST,Forward,RCD Mallorca,Spain Primera Division,Spain,22,Right
Fransérgio,Fransérgio Rodrigues Barbosa,78,30,1990-10-18,187,82,LCM,Midfield,FC Girondins de Bordeaux,French Ligue 1,Brazil,13,Right
R. Steffen,Renato Steffen,78,29,1991-11-03,170,65,LM,Midfield,VfL Wolfsburg,German 1. Bundesliga,Switzerland,11,Left
B. Cristante,Bryan Cristante,78,26,1995-03-03,186,80,RDM,Midfield,Roma,Italian Serie A,Italy,4,Right
R. Saïss,Romain Saïss,78,31,1990-03-26,188,84,LCB,Defender,Wolverhampton Wanderers,English Premier League,Morocco,27,Left
J. Hector,Jonas Hector,78,31,1990-05-27,185,75,LB,Defender,1. FC Köln,German 1. Bundesliga,Germany,14,Left
Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,78,28,1992-11-07,180,73,RB,Defender,Club Brugge KV,Belgian Jupiler Pro League,Angola,77,Right
F. Mollet,Florent Mollet,78,29,1991-11-19,170,67,LM,Midfield,Montpellier Hérault SC,French Ligue 1,France,25,Right
R. Ghezzal,Rachid Ghezzal,78,29,1992-05-09,182,70,RW,Forward,Beşiktaş JK,Turkish Süper Lig,Algeria,18,Left
P. Bamford,Patrick Bamford,78,27,1993-09-05,185,71,ST,Forward,Leeds United,English Premier League,England,9,Left
J. McGinn,John McGinn,78,26,1994-10-18,178,68,RCM,Midfield,Aston Villa,English Premier League,Scotland,7,Left
Carles Gil,Carles Gil de Pareja Vicent,78,28,1992-11-02,170,66,CAM,Midfield,New England Revolution,USA Major League Soccer,Spain,22,Left
M. Dembélé,Moussa Dembélé,78,24,1996-07-12,183,79,ST,Forward,Olympique Lyonnais,French Ligue 1,France,9,Right
N. Stanciu,Nicolae Claudiu Stanciu,78,28,1993-05-07,170,63,CAM,Midfield,SK Slavia Praha,Czech Republic Gambrinus Liga,Romania,7,Right
T. Mings,Tyrone Mings,78,28,1993-03-13,196,77,LCB,Defender,Aston Villa,English Premier League,England,5,Left
R. Zobnin,Roman Zobnin,78,27,1994-02-11,182,78,RDM,Midfield,Spartak Moskva,Russian Premier League,Russia,47,Right
D. Boyata,Anga Dedryck Boyata,78,30,1990-11-28,188,84,RCB,Defender,Hertha BSC,German 1. Bundesliga,Belgium,20,Right
J. Tah,Jonathan Tah,78,25,1996-02-11,195,98,LCB,Defender,Bayer 04 Leverkusen,German 1. Bundesliga,Germany,4,Right
Moi Gómez,Moisés Gómez Bordonado,78,27,1994-06-23,176,73,RM,Midfield,Villarreal CF,Spain Primera Division,Spain,23,Right
Emerson,Emerson Palmieri dos Santos,78,26,1994-08-03,176,79,LB,Defender,Olympique Lyonnais,French Ligue 1,Italy,3,Left
D. Sidibé,Djibril Sidibé,78,28,1992-07-29,182,71,RCB,Defender,AS Monaco,French Ligue 1,France,29,Right
J. Svensson,Jonas Svensson,78,28,1993-03-06,170,70,RB,Defender,Adana Demirspor,Turkish Süper Lig,Norway,22,Right
F. Midtsjø,Fredrik Midtsjø,78,27,1993-08-11,176,70,RCM,Midfield,AZ Alkmaar,Holland Eredivisie,Norway,6,Right
S. Sosa,Carlos Sebastián Sosa Silva,78,34,1986-08-19,179,79,GK,GK,Club Atlético Independiente,Argentina Primera División,Uruguay,1,Right
D. Vida,Domagoj Vida,78,32,1989-04-29,184,76,LCB,Defender,Beşiktaş JK,Turkish Süper Lig,Croatia,24,Right
L. Dunk,Lewis Dunk,78,29,1991-11-21,192,88,LCB,Defender,Brighton & Hove Albion,English Premier League,England,5,Right
H. Vanaken,Hans Vanaken,78,28,1992-08-24,195,80,LCM,Midfield,Club Brugge KV,Belgian Jupiler Pro League,Belgium,20,Right
S. Ortega,Stefan Ortega Moreno,78,28,1992-11-06,185,88,GK,GK,DSC Arminia Bielefeld,German 1. Bundesliga,Germany,1,Right
Felipe Anderson,Felipe Anderson Pereira Gomes,78,28,1993-04-15,175,70,LW,Forward,Lazio,Italian Serie A,Brazil,7,Right
J. Vestergaard,Jannik Vestergaard,78,28,1992-08-03,199,96,LCB,Defender,Leicester City,English Premier League,Denmark,23,Right
P. Kadeřábek,Pavel Kadeřábek,78,29,1992-04-25,182,81,RB,Defender,TSG Hoffenheim,German 1. Bundesliga,Czech Republic,3,Right
Héctor Bellerín,Héctor Bellerín Moruno,78,26,1995-03-19,178,74,RB,Defender,Real Betis Balompié,Spain Primera Division,Spain,12,Right
D. Suárez,Damián Nicolás Suárez Suárez,78,33,1988-04-27,173,68,RB,Defender,Getafe CF,Spain Primera Division,Uruguay,22,Right
J. Brooks,John Anthony Brooks,78,28,1993-01-28,193,78,LCB,Defender,VfL Wolfsburg,German 1. Bundesliga,United States,25,Left
Denis Suárez,Denis Suárez Fernández,78,27,1994-01-06,178,66,CM,Midfield,RC Celta de Vigo,Spain Primera Division,Spain,6,Right
Mário Rui,Mário Rui Silva Duarte,78,30,1991-05-27,170,67,LB,Defender,Napoli,Italian Serie A,Portugal,6,Left
Sidney Pessinho,Sidney Adrián Pessoa Vidigal,77,29,1992-02-29,187,85,LCM,Midfield,Internacional,Campeonato Brasileiro Série A,Brazil,24,Right
Nuno Padrenda,Nuno Ailton Padrenda Mendes,77,25,1996-02-29,180,75,LS,Forward,Clube Atlético Mineiro,Campeonato Brasileiro Série A,Brazil,30,Right
Vieirundinho,Danilo Manuel Vieira Espíndola,77,33,1988-02-29,189,84,RCB,Defender,Santos,Campeonato Brasileiro Série A,Brazil,12,Right
Alexo Baia,Alessandro Baia Marques,77,33,1988-02-29,175,71,RB,Defender,Clube Atlético Mineiro,Campeonato Brasileiro Série A,Brazil,18,Right
Enzo Chissano,Enzo Leandro Chissano Baia,77,29,1992-02-29,165,62,LB,Defender,Palmeiras,Campeonato Brasileiro Série A,Brazil,7,Left
Claudio Coíntra,Claudio Nuno Coíntra Calegari,77,25,1996-02-29,174,71,CAM,Midfield,Palmeiras,Campeonato Brasileiro Série A,Brazil,23,Left
N. Nández,Nahitan Michel Nández Acosta,77,25,1995-12-28,172,70,RM,Midfield,Cagliari,Italian Serie A,Uruguay,18,Right
M. Almirón,Miguel Ángel Almirón Rejala,77,27,1994-02-10,174,70,LCM,Midfield,Newcastle United,English Premier League,Paraguay,24,Left
L. Blas,Ludovic Blas,77,23,1997-12-31,180,70,RS,Forward,FC Nantes,French Ligue 1,France,10,Left
R. Perraud,Romain Perraud,77,23,1997-09-22,173,68,LB,Defender,Southampton,English Premier League,France,15,Left
J. Bijlow,Justin Bijlow,77,23,1998-01-22,188,76,GK,GK,Feyenoord,Holland Eredivisie,Netherlands,1,Right
F. Centonze,Fabien Centonze,77,25,1996-01-16,182,75,RWB,Defender,FC Metz,French Ligue 1,France,18,Right
J. Ito,伊东 纯也,77,28,1993-03-09,176,66,RW,Forward,KRC Genk,Belgian Jupiler Pro League,Japan,7,Right
Fábio Martins,Fábio Santos Martins,77,27,1993-07-24,180,72,RF,Forward,SC Braga,Portuguese Liga ZON SAGRES,Portugal,26,Right
G. Castrovilli,Gaetano Castrovilli,77,24,1997-02-17,179,72,LCM,Midfield,Fiorentina,Italian Serie A,Italy,10,Right
O. Pineda,Orbelín Pineda Alvarado,77,25,1996-03-24,169,63,RW,Forward,Cruz Azul,Mexican Liga MX,Mexico,31,Right
J. Boga,Jérémie Boga,77,24,1997-01-03,174,72,LM,Midfield,U.S. Sassuolo Calcio,Italian Serie A,Côte d'Ivoire,7,Right
J. Larsson,Carl Henrik Jordan Larsson,77,24,1997-06-20,175,68,CAM,Midfield,Spartak Moskva,Russian Premier League,Sweden,11,Left
J. Andersen,Joachim Christian Andersen,77,25,1996-05-31,192,90,RCB,Defender,Crystal Palace,English Premier League,Denmark,16,Right
P. Bernardoni,Paul Jean François Bernardoni,77,24,1997-04-18,190,78,GK,GK,Angers SCO,French Ligue 1,France,1,Left
J. Omlin,Jonas Omlin,77,27,1994-01-10,189,80,GK,GK,Montpellier Hérault SC,French Ligue 1,Switzerland,1,Right
